ID,Card Token,Shopify Customer ID,Store Location,Tier,Status,Cycle Start,Cycle End,Items Used,Swaps Used,Items Out,Created At,Updated At
cmlffykhc0000p30qnp7dliky,ds12345s6s7sss,123456s712,E2E Test Store,PREMIUM,ACTIVE,2026-02-09T17:23:58.895Z,2026-03-09T17:23:58.895Z,0,0,0,2026-02-09T17:23:58.896Z,2026-02-09T17:23:58.896Z
cmlffze680001p30qh36rroel,ds12345s6s7sass,123456s712,E2E Test Store,PREMIUM,ACTIVE,2026-02-09T17:24:37.375Z,2026-03-09T17:24:37.375Z,0,0,0,2026-02-09T17:24:37.376Z,2026-02-09T17:24:37.376Z
cmlfgbf0h0004p30qybim1hpw,12345678911,10148107878720,new-vendor,PREMIUM,ACTIVE,2026-02-09T17:33:58.337Z,2026-03-09T17:33:58.337Z,0,0,0,2026-02-09T17:33:58.338Z,2026-02-09T17:33:58.338Z
cmlfgdjgt0005p30qk2f79108,1234556,10091019993408,lockoffroadwheels-test,PREMIUM,ACTIVE,2026-02-09T17:35:37.420Z,2026-03-09T17:35:37.420Z,0,0,0,2026-02-09T17:35:37.422Z,2026-02-09T17:35:37.422Z
cmlfgg3cp0006p30qzmcaa7js,1234678,10148109189440,lockoffroadwheels-test,PREMIUM,ACTIVE,2026-02-09T17:37:36.505Z,2026-03-09T17:37:36.505Z,0,0,0,2026-02-09T17:37:36.505Z,2026-02-09T17:37:36.505Z
cmlfhjep3000gp30q6rsuubk4,1234567894,6089870409942,Rejoes Mysteryfits,PREMIUM,ACTIVE,2026-02-09T18:08:10.791Z,2026-03-09T18:08:10.791Z,0,0,0,2026-02-09T18:08:10.792Z,2026-02-09T18:08:10.792Z
cmlfjmnct000vp30qllwb3p4a,1234567896,6088190394582,MysteryFits,PREMIUM,ACTIVE,2026-02-09T19:06:41.213Z,2026-03-09T19:06:41.213Z,2,1,0,2026-02-09T19:06:41.214Z,2026-02-09T19:07:42.524Z
cmlgmo3eo001bp30qhzfkkwhi,1234567892,6087696154838,Rejoes Mysteryfits,PREMIUM,ACTIVE,2026-02-10T13:19:33.695Z,2026-03-10T13:19:33.695Z,0,0,0,2026-02-10T13:19:33.697Z,2026-02-10T13:19:33.697Z
cmlgnhjb0001ep30qssdrc9xw,12345678963,10091019993408,Lockoffroading,PREMIUM,ACTIVE,2026-02-10T13:42:27.323Z,2026-03-10T13:42:27.323Z,1,0,1,2026-02-10T13:42:27.324Z,2026-02-10T13:42:53.781Z
cmlfg8xcf0003p30qv6pr5zzp,1234567891,10148109189440,lockoffroadwheels-test,PREMIUM,ACTIVE,2026-02-09T17:32:02.127Z,2026-03-09T17:32:02.127Z,2,1,1,2026-02-09T17:32:02.128Z,2026-02-10T14:15:36.744Z
cmlfg5yy50002p30qqaulrt6x,123456789,10148109189440,lockoffroadwheels-test,PREMIUM,ACTIVE,2026-02-09T17:29:44.236Z,2026-03-09T17:29:44.236Z,4,2,1,2026-02-09T17:29:44.237Z,2026-02-10T14:17:04.171Z
cmli3tayf001yp30qnk9ypso3,123456789145,6089870409942,Rejoes Mysteryfits,PREMIUM,ACTIVE,2026-02-11T14:07:16.407Z,2026-03-11T14:07:16.407Z,2,1,0,2026-02-11T14:07:16.408Z,2026-02-11T14:08:45.584Z
cmljnpcpj0000p30q4g635brm,u138941398417089410,6091743920342,Rejoes,PLUS,ACTIVE,2026-02-12T16:11:50.550Z,2026-03-12T16:11:50.550Z,0,0,0,2026-02-12T16:11:50.551Z,2026-02-12T16:11:50.551Z
cmljnq1up0001p30q12wxzleo,1234567891234,6087696154838,Rejoes,BASIC,ACTIVE,2026-02-12T16:12:23.136Z,2026-03-12T16:12:23.136Z,0,0,0,2026-02-12T16:12:23.137Z,2026-02-12T16:12:23.137Z
